"Era","file","carob"
"Site.Type","Site.Out","on_farm"
"Country","Site.Out","country"
"Site.ID","Site.Out","location"
"Site.LatD","Site.Out","latitude"
"Site.LonD","Site.Out","longitude"
"Site.MAP","Site.Out","rain"
"Site.Elevation","Site.Out","elevation"
"Site.Soil.Texture","Site.Out","soil_type"
"Time.Clim.Temp.Mean","Times.Clim","temp"
"Time.Clim.Temp.Max","Times.Clim","tmax"
"Time.Clim.Temp.Min","Times.Clim","tmin"
"Time","Times.Clim","time"
"EX.HPlot.Size","ExpD.Out","plot_area"
"EX.Design","ExpD.Out","dsign"
"V.Product","Var.Out","crop"
"V.Var","Var.Out","variety"
"V.Type","Var.Out","variety_type"
"V.Maturity","Var.Out","maturity_days"
"T.Method","Till.Out","land_prep_method"
"T.Mechanization","Till.Out","land_prep_implement"
"Plant.Method","Plant.Method","planting_method"
"Plant.Mechanization","Plant.Method","planting_implement"
"Plant.Density","Plant.Method","plant_density"
"PD.Date.Start","PD.Out","planting_date"
"PD.Date.Start","PD.Out","harvest_date"
"PD.Date.DAS","PD.Out","DAS"
"PD.Date.DAP","PD.Out","DAP"
"F.NO","Fert.Out","N_organic"
"F.PO","Fert.Out","P_organic"
"F.KO","Fert.Out","K_organic"
"F.NI","Fert.Out","N_fertilizer"
"F.PI","Fert.Out","P_fertilizer"
"F.P2O5","Fert.Out","P_fertilizer"
"F.KI","Fert.Out","K_fertilizer"
"F.K2O","Fert.Out","K_fertilizer"
"F.Type","Fert.Method","fertilizer_type"
"F.Amount","Fert.Method","fertilizer_amount"
"F.Method","Fert.Method","fertilizer_method"
"F.Date","Fert.Method","fertilizer_date"
"F.Date.DAP","Fert.Method","fertilizer_dap"
"F.Date.DAE","Fert.Method","fertilizer_dae"
