"carob_name","type","unit","group","description"
"trial_id","character","","crop","Identifier of a single trial in a single location and season (that may have treatments and replicates)"
"plot_id","character","","crop","Identifier of a single plot in a single trial in a single location and season"
"block_id","character","","crop","Identifier of a single block in a single trial in a single location and season"
"growth_stage","character","","crop","Growth stage description (code)"
"LTE_name","character","","crop","Name of long-term experiment"
"season","character","","crop","Season name"
"flooded","logical","","crop","Was the field flooded (most of the time?) --- is this lowland rice?"
"on_farm","logical","","crop","Is this observation on farm (not on an expermiment station)"
"is_survey","logical","","crop","Is this observation from a survey (not an experiment)"
"treatment","character","","crop","Description of the treatment, if any. Can be a code used in the original data. There are no rules about its content or format"
"rep","integer","","crop","Replication number (1, 2, 3, ...) For this specific observation"
"crop","character","","crop","Crop name(s)"
"variety","character","","crop","Variety name"
"variety_alt","character","","crop","Alternative names for variety"
"variety_code","character","","crop","Variety code"
"variety_pedigree","character","","crop","Variety pedigree. E.g. CML311 x CML483"
"variety_type","character","","crop","variety grouping (e.g. climbing/bush) and/or ""improved/landrace"""
"variety_traits","character","","crop","variety characteristics"
"variety_release_year","integer","","crop","year the variety was released"
"intercropped","logical","","crop","is the crop intercropped"
"intercrops","character","","crop","Other crop grown together with the main crop"
"intercrop_type","character","","crop","Type of intercropping (e.g. mixed, strip)"
"previous_crop","character","","crop","Crop grown on this plot in the prior season"
"crop_rotation","character","","crop","Crops grown in rotation on this plot"
"cover_crop","character","","crop","Crops grown as cover crop on this plot"
"cover_crop_used","logical","","crop","Are there cover crops grown on this plot?"
"emergence_date","date","","crop","Emergence date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
"heading_date","date","","crop","Heading date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
"flowering_date","date","","crop","Flowering date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
"maturity_date","date","","crop","Maturity date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
"dmy_roots","numeric","kg/ha","crop","Dry-matter weight biomass of fine roots per ha"
"dmy_stems","numeric","kg/ha","crop","Dry-matter weight biomass of stems per ha"
"dmy_leaves","numeric","kg/ha","crop","Dry-matter weight biomass of leaves per ha"
"dmy_storage","numeric","kg/ha","crop","Dry-matter weight biomass of storage organs per ha"
"dmy_total","numeric","kg/ha","crop","Dry-matter weight total biomass per ha"
"dmy_residue","numeric","kg/ha","crop","Dry-matter weight residue biomass per ha"
"fwy_roots","numeric","kg/ha","crop","Fresh weight biomass of fine roots per ha"
"fwy_stems","numeric","kg/ha","crop","Fresh weight biomass of stems per ha"
"fwy_leaves","numeric","kg/ha","crop","Fresh weight biomass of leaves per ha"
"fwy_storage","numeric","kg/ha","crop","Fresh weight biomass of storage organs per ha"
"fwy_total","numeric","kg/ha","crop","Fresh weight total biomass per ha"
