"dataset_id","uri","carob_id"
"AG0065","10.3389/fpls.2016.01435","doi_10.7910_DVN_AMAZXA"
"AN0132","10.1017/S0014479715000265","doi_10.7910_DVN_QLJUY7"
"CJ0026","10.1017/S1742170517000606","doi_10.7910_DVN_RSGLGB"
"CJ0026","10.1017/S1742170517000606","doi_10.7910_DVN_UTSWRY"
"DK0015","10.1155/2018/7676058","doi_10.21421_D2_FATVHT"
"DK0061","10.1016/j.fcr.2017.01.024","doi_10.18167_DVN1_Y5HADO"
"DK0071","10.1016/j.agee.2017.08.015","doi_10.25502_a7ex-ea51_d"
"DK0071","10.1016/j.agee.2017.08.015","doi_10.25502_ac6r-kx93"
"DK0071","10.1016/j.agee.2017.08.015","doi_10.25502_EZQV-ZZ19"
"DK0076","10.1016/j.agee.2016.05.012","doi_10.25502_20180814_0923_HJ"
"DK0076","10.1016/j.agee.2016.05.012","doi_10.25502_20180814_1219_HJ"
"DK0076","10.1016/j.agee.2016.05.012","doi_10.25502_20180814_1446_HJ"
"EO0151","10.1016/j.fcr.2015.02.013","doi_10.18167_DVN1_GPZOHO"
"HK0261","10.2134/agronj2012.0063","doi_10.34725_DVN_25746"
"JO0038","10.1016/j.agee.2022.108207","doi_10.18167_DVN1_N7GAZF"
"JO0038","10.1016/j.agee.2022.108207","doi_10.18167_DVN1_VPOCHN"
"JO0042","10.1016/j.fcr.2020.108052","doi_10.18167_DVN1_IJOA5J"
"NM0013","10.1016/j.fcr.2021.108225","doi_10.7910_DVN_1A6WMD"
"NM0013","10.1016/j.fcr.2021.108225","doi_10.7910_DVN_UJIPSW"
"NM0101","10.1016/j.agee.2021.107576","doi_10.18167_DVN1_XYOHRP"
"NN0560","10.1016/j.agwat.2011.04.002","doi_10.34725_DVN_FUZDMU"
